sympol,ar,en,es,it,ur,fr,de,tr,ru,fa
azan,أزان,Azan,Salir,Esci,باہر جانا,Sortir,Hinausgehen,Dışarı çıkmak,Выходить,برو بیرون
quran,القرآن,Quran,El Corán,Il Corano,قرآن,Le Coran,Der Koran,Kuran,Коран,قرآن
azkar,أزكار,Azkar,Faro,Faro,بیکن,Balise,Leuchtfeuer,İşaret,Маяк,چراغ
culture,ثقافة,Culture,cultura,cultura,ثقافت,culture,Kultur,kültür,культура,فرهنگ
salah,صلاح,Salah,Salah,Salah,صلاح,Salah,Salah,Salah,Салах,صلاح
mon,الاثنين,Mon,Lunes,Lunedi,پیر,Lundi,Montag,Pazartesi,Понедельник,دوشنبه
tue,الثلاثاء,Tue,Martes,Martedì,منگل,Mardi,Dienstag,Salı,Вторник,سهشنبه
wed,الأربعاء,Wed,Miércoles,Mercoledì,بدھ,Mercredi,Mittwoch,Çarşamba,Среда,چهار شنبه
thu,الخميس,Thu,Jueves,Giovedì,جمعرات,Jeudi,Donnerstag,Perşembe,Четверг,پنج شنبه
fri,الجمعة,Fri,Viernes,Venerdì,جمعہ,Vendredi,Freitag,Cuma,Пятница,جمعه
sat,السبت,Sat,Sábado,Sabato,ہفتہ,Samedi,Samstag,Cumartesi,Суббота,شنبه
sun,الأحد,Sun,Domingo,Domenica,اتوار,Dimanche,Sonntag,Pazar,Воскресенье,یکشنبه
mon,الاثنين,Mon,Lunes,Lunedi,پیر,Lundi,Montag,Pazartesi,Понедельник,دوشنبه
fajr,الفجر,Fajr,Alba,All'alba,دن کا وقفہ,Aube,Tagesanbruch,Gündüzü,Рассвет,طلوع شبانه روز
sunrise,شروق الشمس,Sunrise,el amanecer,alba,طلوع آفتاب,Lever du soleil,Sonnenaufgang,güneşin doğuşu,восход,طلوع خورشید
dhuhr,الظهر,Dhuhr,mediodía,mezzogiorno,دوپہر,midi,Mittag,öğlen,полдень,ظهر
asr,العصر,Asr,edad,età,عمر,âge,Alter,yaş,возраст,سن
sunset,الغروب,Sunset,Atardecer,Tramonto,غروب آفتاب,Coucher de soleil,Sonnenuntergang,Gün batımı,Закат,غروب
maghrib,المغرب,Maghrib,Marruecos,Marocco,مراکش,Maroc,Marokko,Fas,Марокко,مراکشی
isha,العشاء,Isha,cena,cena,رات کا کھانا,dîner,Abendessen,akşam yemeği,ужин,شام
imsak,إيمساك,Imsak,Embebido,Embsak,ایمبساک,Empièce,EMBSAK,Emssak,Эмбак,باقمستان
midnight,منتصف الليل,Midnight,medianoche,mezzanotte,آدھی رات,Minuit,Mitter Nacht,gece yarısı,полночь,نیمه شب
