question,ar,en,es,it,de,tr,ru,ur,fa,fr,in
I prefer to spend time alone rather than with a group of people.,أفضّل قضاء الوقت بمفردي بدلاً من قضاء الوقت مع مجموعة من الناس.,I prefer to spend time alone rather than with a group of people.,Prefiero pasar tiempo solo que con un grupo de personas.,Preferisco trascorrere del tempo da solo piuttosto che con un gruppo di persone.,Ich verbringe meine Zeit lieber alleine als mit einer Gruppe von Menschen.,Kalabalık bir grup insanla vakit geçirmektense yalnız vakit geçirmeyi tercih ederim.,"Я предпочитаю проводить время в одиночестве, а не с группой людей.",میں لوگوں کے گروپ کے ساتھ رہنے کے بجائے تنہا وقت گزارنا پسند کرتا ہوں۔,من ترجیح می دهم به جای اینکه با گروهی از مردم زمان خود را تنها بگذرانم.,Je préfère passer du temps seul plutôt qu'avec un groupe de personnes.,मैं लोगों के समूह के साथ रहने के बजाय अकेले समय बिताना पसंद करता हूं।
I am highly organized and like to plan things in advance.,أنا منظم للغاية وأحب التخطيط للأشياء مسبقًا.,I am highly organized and like to plan things in advance.,Soy muy organizado y me gusta planificar las cosas con antelación.,Sono altamente organizzato e mi piace pianificare le cose in anticipo.,Ich bin gut organisiert und plane Dinge gerne im Voraus.,Son derece organizeyim ve işleri önceden planlamayı seviyorum.,Я очень организован и люблю планировать дела заранее.,میں انتہائی منظم ہوں اور چیزوں کی پہلے سے منصوبہ بندی کرنا چاہتا ہوں۔,من بسیار منظم هستم و دوست دارم برای همه چیز از قبل برنامه ریزی کنم.,Je suis très organisé et j'aime planifier les choses à l'avance.,मैं अत्यधिक संगठित हूं और चीजों की पहले से योजना बनाना पसंद करता हूं।
I enjoy trying new activities and exploring different ideas.,أنا أستمتع بتجربة أنشطة جديدة واستكشاف أفكار مختلفة.,I enjoy trying new activities and exploring different ideas.,Disfruto probando nuevas actividades y explorando diferentes ideas.,Mi piace provare nuove attività ed esplorare idee diverse.,"Es macht mir Spaß, neue Aktivitäten auszuprobieren und verschiedene Ideen auszuprobieren.",Yeni aktiviteler denemekten ve farklı fikirleri keşfetmekten keyif alıyorum.,Мне нравится пробовать новые виды деятельности и исследовать разные идеи.,مجھے نئی سرگرمیاں آزمانے اور مختلف آئیڈیاز تلاش کرنے میں مزہ آتا ہے۔,از امتحان کردن فعالیت های جدید و کشف ایده های مختلف لذت می برم.,J'aime essayer de nouvelles activités et explorer différentes idées.,मुझे नई गतिविधियाँ आज़माने और विभिन्न विचारों की खोज करने में आनंद आता है।
I find it easy to approach strangers and start conversations.,أجد أنه من السهل الاقتراب من الغرباء وبدء المحادثات.,I find it easy to approach strangers and start conversations.,Me resulta fácil acercarme a extraños e iniciar conversaciones.,Trovo facile avvicinare estranei e avviare conversazioni.,"Es fällt mir leicht, auf Fremde zuzugehen und Gespräche zu beginnen.",Yabancılara yaklaşmayı ve sohbet başlatmayı kolay buluyorum.,Мне легко подойти к незнакомцам и начать разговор.,مجھے اجنبیوں سے رابطہ کرنا اور بات چیت شروع کرنا آسان لگتا ہے۔,نزدیک شدن به غریبه ها و شروع گفتگو برای من آسان است.,Je trouve facile d’approcher des inconnus et d’entamer des conversations.,मुझे अजनबियों से संपर्क करना और बातचीत शुरू करना आसान लगता है।
I often reflect deeply on my thoughts and feelings.,كثيرا ما أفكر بعمق في أفكاري ومشاعري.,I often reflect deeply on my thoughts and feelings.,A menudo reflexiono profundamente sobre mis pensamientos y sentimientos.,Spesso rifletto profondamente sui miei pensieri e sentimenti.,Ich denke oft tief über meine Gedanken und Gefühle nach.,Sık sık düşüncelerim ve duygularım üzerine derinlemesine düşünürüm.,Я часто глубоко размышляю о своих мыслях и чувствах.,میں اکثر اپنے خیالات اور احساسات پر گہرائی سے غور کرتا ہوں۔,من اغلب عمیقاً به افکار و احساسات خود فکر می کنم.,Je réfléchis souvent profondément à mes pensées et à mes sentiments.,मैं अक्सर अपने विचारों और भावनाओं पर गहराई से विचार करता हूं।
I prefer to follow a set of established rules rather than create new ones.,أفضل اتباع مجموعة من القواعد المعمول بها بدلاً من إنشاء قواعد جديدة.,I prefer to follow a set of established rules rather than create new ones.,Prefiero seguir un conjunto de reglas establecidas en lugar de crear otras nuevas.,Preferisco seguire una serie di regole stabilite piuttosto che crearne di nuove.,"Ich bevorzuge es, einer Reihe etablierter Regeln zu folgen, anstatt neue zu erstellen.",Yeni kurallar oluşturmaktansa yerleşik kurallara uymayı tercih ederim.,"Я предпочитаю следовать установленным правилам, а не создавать новые.",میں نئے بنانے کے بجائے قائم کردہ اصولوں کے سیٹ پر عمل کرنے کو ترجیح دیتا ہوں۔,من ترجیح می دهم به جای ایجاد قوانین جدید از مجموعه ای از قوانین تعیین شده پیروی کنم.,Je préfère suivre un ensemble de règles établies plutôt que d'en créer de nouvelles.,मैं नए नियम बनाने के बजाय स्थापित नियमों का पालन करना पसंद करता हूं।
I am empathetic and sensitive to other people's emotions.,أنا متعاطف وحساس لمشاعر الآخرين.,I am empathetic and sensitive to other people's emotions.,Soy empático y sensible a las emociones de otras personas.,Sono empatico e sensibile alle emozioni degli altri.,Ich bin einfühlsam und sensibel für die Gefühle anderer Menschen.,Başkalarının duygularına karşı empatik ve duyarlıyım.,Я эмпатичен и чувствителен к эмоциям других людей.,میں دوسرے لوگوں کے جذبات کے لیے ہمدرد اور حساس ہوں۔,من نسبت به احساسات دیگران همدل و حساس هستم.,Je suis empathique et sensible aux émotions des autres.,मैं अन्य लोगों की भावनाओं के प्रति सहानुभूतिपूर्ण और संवेदनशील हूं।
I am always seeking new challenges and opportunities for growth.,أبحث دائمًا عن تحديات وفرص جديدة للنمو.,I am always seeking new challenges and opportunities for growth.,Siempre estoy buscando nuevos desafíos y oportunidades de crecimiento.,Sono sempre alla ricerca di nuove sfide e opportunità di crescita.,Ich bin immer auf der Suche nach neuen Herausforderungen und Wachstumsmöglichkeiten.,Her zaman büyüme için yeni zorluklar ve fırsatlar arıyorum.,Я всегда ищу новые задачи и возможности для роста.,میں ہمیشہ نئے چیلنجز اور ترقی کے مواقع کی تلاش میں رہتا ہوں۔,من همیشه به دنبال چالش ها و فرصت های جدید برای رشد هستم.,Je suis toujours à la recherche de nouveaux défis et d'opportunités de croissance.,मैं हमेशा विकास के लिए नई चुनौतियों और अवसरों की तलाश में रहता हूं।
I like to have a clear plan before starting a project.,أحب أن يكون لدي خطة واضحة قبل البدء بالمشروع.,I like to have a clear plan before starting a project.,Me gusta tener un plan claro antes de iniciar un proyecto.,Mi piace avere un piano chiaro prima di iniziare un progetto.,"Ich möchte einen klaren Plan haben, bevor ich ein Projekt beginne.",Bir projeye başlamadan önce net bir planın olmasını severim.,Мне нравится иметь четкий план перед началом проекта.,میں کسی پروجیکٹ کو شروع کرنے سے پہلے ایک واضح منصوبہ بنانا چاہتا ہوں۔,من دوست دارم قبل از شروع یک پروژه یک برنامه روشن داشته باشم.,J'aime avoir un plan clair avant de démarrer un projet.,मुझे कोई प्रोजेक्ट शुरू करने से पहले एक स्पष्ट योजना बनाना पसंद है।
I enjoy participating in social events and meeting new people.,أنا أستمتع بالمشاركة في المناسبات الاجتماعية والتعرف على أشخاص جدد.,I enjoy participating in social events and meeting new people.,Disfruto participar en eventos sociales y conocer gente nueva.,Mi piace partecipare ad eventi sociali e incontrare nuove persone.,Ich nehme gerne an gesellschaftlichen Veranstaltungen teil und lerne neue Leute kennen.,Sosyal etkinliklere katılmayı ve yeni insanlarla tanışmayı seviyorum.,Мне нравится участвовать в общественных мероприятиях и знакомиться с новыми людьми.,مجھے سماجی تقریبات میں حصہ لینے اور نئے لوگوں سے ملنا اچھا لگتا ہے۔,از شرکت در رویدادهای اجتماعی و ملاقات با افراد جدید لذت می برم.,J'aime participer à des événements sociaux et rencontrer de nouvelles personnes.,मुझे सामाजिक कार्यक्रमों में भाग लेना और नए लोगों से मिलना अच्छा लगता है।
